nivel_ruido,fuerza_cambio,tipo_cambio,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,iterations,series_per_iteration,delta_eval,series_evaluated,series_avg_length,series_std_length,notes,status,trial_id,is_best,params_json,f1_mean,precision_mean,recall_mean,mmd_mean,mttd_mean,detections_mean,tp_mean,fp_mean,fn_mean,series_count
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,7,False,"{""adaptation"": 5e-05, ""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.0005, ""threshold"": 3.0}",0.09079365079365079,0.15185185185185185,0.0685185185185185,0.9132435004927683,3.0,1.0222222222222221,0.2,0.8222222222222222,2.111111111111111,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,0,False,"{""measurement_noise"": 0.6, ""min_distance"": 30, ""process_noise"": 0.005, ""threshold"": 3.0}",0.08962962962962963,0.14444444444444443,0.07037037037037036,0.9067010799175708,2.5,0.8666666666666667,0.17777777777777778,0.6888888888888889,2.1333333333333333,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,1,False,"{""measurement_noise"": 0.6, ""min_distance"": 30, ""process_noise"": 0.005, ""threshold"": 3.5}",0.0,0.0,0.0,1.0171645270162368,,0.13333333333333333,0.0,0.13333333333333333,2.311111111111111,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,2,False,"{""measurement_noise"": 0.9, ""min_distance"": 30, ""process_noise"": 0.005, ""threshold"": 3.0}",0.07851851851851852,0.12222222222222222,0.06296296296296296,0.9134367399530711,2.5714285714285716,0.8444444444444444,0.15555555555555556,0.6888888888888889,2.1555555555555554,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,3,False,"{""measurement_noise"": 0.9, ""min_distance"": 30, ""process_noise"": 0.005, ""threshold"": 3.5}",0.02592592592592592,0.044444444444444446,0.018518518518518517,1.0165280862979356,1.5,0.17777777777777778,0.044444444444444446,0.13333333333333333,2.2666666666666666,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,4,True,"{""measurement_noise"": 0.6, ""min_distance"": 30, ""process_noise"": 0.01, ""threshold"": 3.0}",0.0982010582010582,0.14074074074074072,0.08148148148148147,0.9083839173402493,3.4444444444444446,0.9333333333333333,0.2,0.7333333333333333,2.111111111111111,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,5,False,"{""measurement_noise"": 0.6, ""min_distance"": 30, ""process_noise"": 0.01, ""threshold"": 3.5}",0.0,0.0,0.0,1.0296022069189155,,0.17777777777777778,0.0,0.17777777777777778,2.311111111111111,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,6,False,"{""measurement_noise"": 0.9, ""min_distance"": 30, ""process_noise"": 0.01, ""threshold"": 3.0}",0.095978835978836,0.15185185185185185,0.07592592592592592,0.9016841053080872,3.2222222222222223,0.8888888888888888,0.2,0.6888888888888889,2.111111111111111,45
alto,alto,escalon,skf_kalman_canary,SKF,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman robusto.,ok,7,False,"{""measurement_noise"": 0.9, ""min_distance"": 30, ""process_noise"": 0.01, ""threshold"": 3.5}",0.0,0.0,0.0,1.024165409415477,,0.15555555555555556,0.0,0.15555555555555556,2.311111111111111,45
alto,alto,escalon,bayesian_online_cpd_cpfinder,Bayesian Online Change Point Detection,cpfinder,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,BCPD con Student-T.,ok,0,True,"{""alpha"": 0.1, ""beta"": 0.01, ""hazard_lambda"": 150.0, ""kappa"": 1.0, ""min_distance"": 25, ""probability_threshold"": 0.5}",0.0,0.0,0.0,1.0,,0.0,0.0,0.0,2.311111111111111,45
